0,0,0,5.0
0,0,1,5.0
0,0,2,5.0
0,0,3,5.0
0,0,4,5.0
0,0,5,5.0
0,0,6,5.0
0,0,7,5.0
0,1,0,2.0
0,1,1,2.0
0,1,2,2.0
0,1,3,2.0
0,1,4,2.0
0,1,5,2.0
0,1,6,2.0
0,1,7,2.0
0,2,0,3.0
0,2,1,3.0
0,2,2,3.0
0,2,3,3.0
0,2,4,3.0
0,2,5,3.0
0,2,6,3.0
0,2,7,3.0
0,3,0,2.0
0,3,1,2.0
0,3,2,2.0
0,3,3,2.0
0,3,4,2.0
0,3,5,2.0
0,3,6,2.0
0,3,7,2.0
0,4,0,2.0
0,4,1,2.0
0,4,2,2.0
0,4,3,2.0
0,4,4,2.0
0,4,5,2.0
0,4,6,2.0
0,4,7,2.0
0,5,0,2.0
0,5,1,2.0
0,5,2,2.0
0,5,3,2.0
0,5,4,2.0
0,5,5,2.0
0,5,6,2.0
0,5,7,2.0
0,6,0,2.0
0,6,1,2.0
0,6,2,2.0
0,6,3,2.0
0,6,4,2.0
0,6,5,2.0
0,6,6,2.0
0,6,7,2.0
0,7,0,2.0
0,7,1,2.0
0,7,2,2.0
0,7,3,2.0
0,7,4,2.0
0,7,5,2.0
0,7,6,2.0
0,7,7,2.0
0,8,0,2.0
0,8,1,2.0
0,8,2,2.0
0,8,3,2.0
0,8,4,2.0
0,8,5,2.0
0,8,6,2.0
0,8,7,2.0
0,9,0,3.0
0,9,1,3.0
0,9,2,3.0
0,9,3,3.0
0,9,4,3.0
0,9,5,3.0
0,9,6,3.0
0,9,7,3.0
0,10,0,3.0
0,10,1,3.0
0,10,2,3.0
0,10,3,3.0
0,10,4,3.0
0,10,5,3.0
0,10,6,3.0
0,10,7,3.0
0,11,0,2.0
0,11,1,2.0
0,11,2,2.0
0,11,3,2.0
0,11,4,2.0
0,11,5,2.0
0,11,6,2.0
0,11,7,2.0
0,12,0,3.0
0,12,1,3.0
0,12,2,3.0
0,12,3,3.0
0,12,4,3.0
0,12,5,3.0
0,12,6,3.0
0,12,7,3.0
0,13,0,2.0
0,13,1,2.0
0,13,2,2.0
0,13,3,2.0
0,13,4,2.0
0,13,5,2.0
0,13,6,2.0
0,13,7,2.0
0,14,0,3.0
0,14,1,3.0
0,14,2,3.0
0,14,3,3.0
0,14,4,3.0
0,14,5,3.0
0,14,6,3.0
0,14,7,3.0
0,15,0,2.0
0,15,1,2.0
0,15,2,2.0
0,15,3,2.0
0,15,4,2.0
0,15,5,2.0
0,15,6,2.0
0,15,7,2.0
0,16,0,2.0
0,16,1,2.0
0,16,2,2.0
0,16,3,2.0
0,16,4,2.0
0,16,5,2.0
0,16,6,2.0
0,16,7,2.0
0,17,0,3.0
0,17,1,3.0
0,17,2,3.0
0,17,3,3.0
0,17,4,3.0
0,17,5,3.0
0,17,6,3.0
0,17,7,3.0
0,18,0,2.0
0,18,1,2.0
0,18,2,2.0
0,18,3,2.0
0,18,4,2.0
0,18,5,2.0
0,18,6,2.0
0,18,7,2.0
0,19,0,2.0
0,19,1,2.0
0,19,2,2.0
