0,0,0,4.0
0,0,1,4.0
0,0,2,4.0
0,0,3,4.0
0,1,0,1.0
0,1,1,1.0
0,1,2,1.0
0,1,3,1.0
0,2,0,1.0
0,2,1,1.0
0,2,2,1.0
0,2,3,1.0
0,3,0,1.0
0,3,1,1.0
0,3,2,1.0
0,3,3,1.0
0,4,0,1.0
0,4,1,1.0
0,4,2,1.0
0,4,3,1.0
0,5,0,1.0
0,5,1,1.0
0,5,2,1.0
0,5,3,1.0
0,6,0,1.0
0,6,1,1.0
0,6,2,1.0
0,6,3,1.0
0,7,0,1.0
0,7,1,1.0
0,7,2,1.0
0,7,3,1.0
0,8,0,2.0
0,8,1,2.0
0,8,2,2.0
0,8,3,2.0
0,9,0,2.0
0,9,1,2.0
0,9,2,2.0
0,9,3,2.0
0,10,0,1.0
0,10,1,1.0
0,10,2,1.0
0,10,3,1.0
0,11,0,1.0
0,11,1,1.0
0,11,2,1.0
0,11,3,1.0
0,12,0,1.0
0,12,1,1.0
0,12,2,1.0
0,12,3,1.0
0,13,0,1.0
0,13,1,1.0
0,13,2,1.0
0,13,3,1.0
0,14,0,1.0
0,14,1,1.0
0,14,2,1.0
0,14,3,1.0
0,15,0,1.0
0,15,1,1.0
0,15,2,1.0
0,15,3,1.0
0,16,0,1.0
0,16,1,1.0
0,16,2,1.0
0,16,3,1.0
0,17,0,2.0
0,17,1,2.0
0,17,2,2.0
0,17,3,2.0
0,18,0,1.0
0,18,1,1.0
0,18,2,1.0
0,18,3,1.0
0,19,0,1.0
0,19,1,1.0
0,19,2,1.0
0,19,3,1.0
0,20,0,1.0
0,20,1,1.0
0,20,2,1.0
0,20,3,1.0
0,21,0,2.0
0,21,1,2.0
0,21,2,2.0
0,21,3,2.0
0,22,0,1.0
0,22,1,1.0
0,22,2,1.0
0,22,3,1.0
0,23,0,2.0
0,23,1,2.0
0,23,2,2.0
0,23,3,2.0
0,24,0,1.0
0,24,1,1.0
0,24,2,1.0
0,24,3,1.0
0,25,0,1.0
0,25,1,1.0
0,25,2,1.0
0,25,3,1.0
0,26,0,1.0
0,26,1,1.0
0,26,2,1.0
0,26,3,1.0
0,27,0,1.0
0,27,1,1.0
0,27,2,1.0
0,27,3,1.0
0,28,0,1.0
0,28,1,1.0
0,28,2,1.0
0,28,3,1.0
0,29,0,1.0
0,29,1,1.0
0,29,2,1.0
